Release Name	Release Meta Language	Orchard Artist	Artist Country	Subaccount Name	Artist URL	Release Artist(s)-Primary Artist(s)	Release Artist(s)-Featuring(s)	Release Artist(s)-Remixer(s)	Release Artist(s)-Composer(s)	Release Artist(s)-Orchestra(s)	Release Artist(s)-Ensemble(s)	Release Artist(s)-Conductor(s)	Release Date	Sale Start Date	iTunes Pre-Order	iTunes Pre-Order Date	Preorder Preview	Album Pricing	Format: Full Length / EP / Single	Imprint	Genre	Sub-genre	[C] Information	Digital UPC	Manufacturer's UPC	Folder Name / Project Code	Product Code	Release Version	File Name	Volume	Track No.	Track Name	Track Audio Language	Version	Track Artist	Track Artist(s) - Featuring(s)	Track Artist(s) - Remixer(s)	Track Artist(s) - Composer(s)	Track Artist(s) - Orchestra(s)	Track Artist(s) - Ensemble(s)	Track Artist(s) - Conductor(s)	Track Pricing	Explicit (No/Yes/Clean)	ISRC	3rd Party Publisher? (Yes/No)	[P] Information	Ownership For This Sound Recording	Country of Recording	Nationality of Original Copyright Owner	Songwriter(s)	Publisher(s)	Performer 1 Type	Performer 1 Legal Name	Performer 1 Main Role	Performer 2 Type	Performer 2 Legal Name	Performer 2 Main Role	Performer 3 Type	Performer 3 Legal Name	Performer 3 Main Role	Performer 4 Type	Performer 4 Legal Name	Performer 4 Main Role	Performer 5 Type	Performer 5 Legal Name	Performer 5 Main Role	Only Include/Only Exclude?	Territories (ISO Codes)	md5 Checksum	Filesize	Is Mastered for iTunes?	Mastering Studio Email-Address	Excluded DMS	Streaming allowed	Bundle Only
Apres-Ski Megaparty 2013	German	AA Apres-Ski!	Germany	Blue Door Records Christian Lösch		AA Apres-Ski!							2012-11-30	2012-11-30	No Pre-order			Mid/Front	Full Length	Blue Door Records Christian Lösch	Pop	Pop	2012 Blue Door Records Christian Lösch	4260149823823	4260149823823	1352145356591	1352145356591_00382		1352145356591_01_01.flac	1	1	Ab auf die Piste	German		AA Apres-Ski!							Front	No	DEHT41202176	No	2012 Blue Door Records Christian Lösch	I have no master rights	Germany	Germany	Erl, Sebastian	Hanseatic Musikverlag																		b4dc45cf4e02ef499b94951ede57b8eb	29135206	No		Altacom|AmazonDOD|AudibleMagic|BeatportDigitalDownloadNetwork|Bleep|Boomkat|Dubstore|Flipagram|Gracenote|Grammofy|Hardwax|HDTracks|JunoRecords|NMusic|Phononet|Qanawat|Realnetwork-Listen(Muzicall)|Shazam|SimfyAfrica|SoundExchange|Touchtunes|Traxsource|VEVO|XboxMusic	Yes	No
Apres-Ski Megaparty 2013	German	AA Apres-Ski!	Germany	Blue Door Records Christian Lösch		AA Apres-Ski!							2012-11-30	2012-11-30	No Pre-order			Mid/Front	Full Length	Blue Door Records Christian Lösch	Pop	Pop	2012 Blue Door Records Christian Lösch	4260149823823	4260149823823	1352145356591	1352145356591_00382		1352145356591_01_02.flac	1	2	Nur noch Schuhe an	German		AA Apres-Ski!							Front	No	DEHT41202177	No	2012 Blue Door Records Christian Lösch	I have no master rights	Germany	Germany	KOOPMANS, ANTONIUS; KOOPMANS, GERARDUS	BME SONGS; SCHEDLER, RUDI, MUSIKVERLAG GMBH																		d06799a995daf2b9cd210bd6fbe77ece	28875113	No		Altacom|AmazonDOD|AudibleMagic|BeatportDigitalDownloadNetwork|Bleep|Boomkat|Dubstore|Flipagram|Gracenote|Grammofy|Hardwax|HDTracks|JunoRecords|NMusic|Phononet|Qanawat|Realnetwork-Listen(Muzicall)|Shazam|SimfyAfrica|SoundExchange|Touchtunes|Traxsource|VEVO|XboxMusic	Yes	No
Apres-Ski Megaparty 2013	German	AA Apres-Ski!	Germany	Blue Door Records Christian Lösch		AA Apres-Ski!							2012-11-30	2012-11-30	No Pre-order			Mid/Front	Full Length	Blue Door Records Christian Lösch	Pop	Pop	2012 Blue Door Records Christian Lösch	4260149823823	4260149823823	1352145356591	1352145356591_00382		1352145356591_01_03.flac	1	3	Hey wir wollen die Eisbären sehn	German	Apres-Ski 2013 Mix	AA Apres-Ski!							Front	No	DEHT41202178	No	2012 Blue Door Records Christian Lösch	I have no master rights	Germany	Germany	Birr, Peter	Puhdys Musikverlag																		c8a3e06ff09975157e8996097c749833	24498366	No		Altacom|AmazonDOD|AudibleMagic|BeatportDigitalDownloadNetwork|Bleep|Boomkat|Dubstore|Flipagram|Gracenote|Grammofy|Hardwax|HDTracks|JunoRecords|NMusic|Phononet|Qanawat|Realnetwork-Listen(Muzicall)|Shazam|SimfyAfrica|SoundExchange|Touchtunes|Traxsource|VEVO|XboxMusic	Yes	No
Apres-Ski Megaparty 2013	German	AA Apres-Ski!	Germany	Blue Door Records Christian Lösch		AA Apres-Ski!							2012-11-30	2012-11-30	No Pre-order			Mid/Front	Full Length	Blue Door Records Christian Lösch	Pop	Pop	2012 Blue Door Records Christian Lösch	4260149823823	4260149823823	1352145356591	1352145356591_00382		1352145356591_01_04.flac	1	4	Z'ruck zu dir (Hallo Klaus)	German		AA Apres-Ski!							Front	No	DEHT41202179	No	2012 Blue Door Records Christian Lösch	I have no master rights	Germany	Germany	HALAMA, INGO; PASBRIG, BERNARDO	GET READY MUSIKVERLAG BERNARDO PASBRIG																		57ab8d0fe674fef486900ab6cccc2288	29266857	No		Altacom|AmazonDOD|AudibleMagic|BeatportDigitalDownloadNetwork|Bleep|Boomkat|Dubstore|Flipagram|Gracenote|Grammofy|Hardwax|HDTracks|JunoRecords|NMusic|Phononet|Qanawat|Realnetwork-Listen(Muzicall)|Shazam|SimfyAfrica|SoundExchange|Touchtunes|Traxsource|VEVO|XboxMusic	Yes	No
Apres-Ski Megaparty 2013	German	AA Apres-Ski!	Germany	Blue Door Records Christian Lösch		AA Apres-Ski!							2012-11-30	2012-11-30	No Pre-order			Mid/Front	Full Length	Blue Door Records Christian Lösch	Pop	Pop	2012 Blue Door Records Christian Lösch	4260149823823	4260149823823	1352145356591	1352145356591_00382		1352145356591_01_05.flac	1	5	Die Hölle morgen früh	German		AA Apres-Ski!							Front	No	DEHT41202180	No	2012 Blue Door Records Christian Lösch	I have no master rights	Germany	Germany	FRANKFURTER, JEAN	KATRIN EDITION DER SONY/ATV;																		6e3baa34ce3b3590559cb76359fa7a40	28930077	No		Altacom|AmazonDOD|AudibleMagic|BeatportDigitalDownloadNetwork|Bleep|Boomkat|Dubstore|Flipagram|Gracenote|Grammofy|Hardwax|HDTracks|JunoRecords|NMusic|Phononet|Qanawat|Realnetwork-Listen(Muzicall)|Shazam|SimfyAfrica|SoundExchange|Touchtunes|Traxsource|VEVO|XboxMusic	Yes	No
Apres-Ski Megaparty 2013	German	AA Apres-Ski!	Germany	Blue Door Records Christian Lösch		AA Apres-Ski!							2012-11-30	2012-11-30	No Pre-order			Mid/Front	Full Length	Blue Door Records Christian Lösch	Pop	Pop	2012 Blue Door Records Christian Lösch	4260149823823	4260149823823	1352145356591	1352145356591_00382		1352145356591_01_06.flac	1	6	Schatzi schenk mir ein Foto	German		AA Apres-Ski!							Front	No	DEHT41202181	No	2012 Blue Door Records Christian Lösch	I have no master rights	Germany	Germany	KOOPMANS, ANTONIUS G J	SCHEDLER, RUDI, MUSIKVERLAG GMBH																		37efb4de5f32100d4410f6ab72132a14	28324752	No		Altacom|AmazonDOD|AudibleMagic|BeatportDigitalDownloadNetwork|Bleep|Boomkat|Dubstore|Flipagram|Gracenote|Grammofy|Hardwax|HDTracks|JunoRecords|NMusic|Phononet|Qanawat|Realnetwork-Listen(Muzicall)|Shazam|SimfyAfrica|SoundExchange|Touchtunes|Traxsource|VEVO|XboxMusic	Yes	No
Apres-Ski Megaparty 2013	German	AA Apres-Ski!	Germany	Blue Door Records Christian Lösch		AA Apres-Ski!							2012-11-30	2012-11-30	No Pre-order			Mid/Front	Full Length	Blue Door Records Christian Lösch	Pop	Pop	2012 Blue Door Records Christian Lösch	4260149823823	4260149823823	1352145356591	1352145356591_00382		1352145356591_01_07.flac	1	7	Tage wie diese (An Tagen wie diesen)	German		AA Apres-Ski!							Front	No	DEHT41202182	No	2012 Blue Door Records Christian Lösch	I have no master rights	Germany	Germany	HOLST VON, ANDREAS	PKM PATRICKS KLEINER MUSIKVERLAG GMBH																		39e045f3aed276af6cc2c64b31fd1df0	32165963	No		Altacom|AmazonDOD|AudibleMagic|BeatportDigitalDownloadNetwork|Bleep|Boomkat|Dubstore|Flipagram|Gracenote|Grammofy|Hardwax|HDTracks|JunoRecords|NMusic|Phononet|Qanawat|Realnetwork-Listen(Muzicall)|Shazam|SimfyAfrica|SoundExchange|Touchtunes|Traxsource|VEVO|XboxMusic	Yes	No
Apres-Ski Megaparty 2013	German	AA Apres-Ski!	Germany	Blue Door Records Christian Lösch		AA Apres-Ski!							2012-11-30	2012-11-30	No Pre-order			Mid/Front	Full Length	Blue Door Records Christian Lösch	Pop	Pop	2012 Blue Door Records Christian Lösch	4260149823823	4260149823823	1352145356591	1352145356591_00382		1352145356591_01_08.flac	1	8	Schenk mir dein Herz	German		AA Apres-Ski!							Front	No	DEHT41202183	No	2012 Blue Door Records Christian Lösch	I have no master rights	Germany	Germany	FROEHLICH, JAN-PETER	Edition Höhner																		35e6512bbe784687669951db149a2c97	30190184	No		Altacom|AmazonDOD|AudibleMagic|BeatportDigitalDownloadNetwork|Bleep|Boomkat|Dubstore|Flipagram|Gracenote|Grammofy|Hardwax|HDTracks|JunoRecords|NMusic|Phononet|Qanawat|Realnetwork-Listen(Muzicall)|Shazam|SimfyAfrica|SoundExchange|Touchtunes|Traxsource|VEVO|XboxMusic	Yes	No
Apres-Ski Megaparty 2013	German	AA Apres-Ski!	Germany	Blue Door Records Christian Lösch		AA Apres-Ski!							2012-11-30	2012-11-30	No Pre-order			Mid/Front	Full Length	Blue Door Records Christian Lösch	Pop	Pop	2012 Blue Door Records Christian Lösch	4260149823823	4260149823823	1352145356591	1352145356591_00382		1352145356591_01_09.flac	1	9	So ein schöner Tag (Fliegerlied)	German		AA Apres-Ski!							Front	No	DEHT41202184	No	2012 Blue Door Records Christian Lösch	I have no master rights	Germany	Germany	DONAUER, ANDREAS	SCHEDLER, RUDI, MUSIKVERLAG GMBH																		499efc33d2b8d141fedce30507591f69	27960682	No		Altacom|AmazonDOD|AudibleMagic|BeatportDigitalDownloadNetwork|Bleep|Boomkat|Dubstore|Flipagram|Gracenote|Grammofy|Hardwax|HDTracks|JunoRecords|NMusic|Phononet|Qanawat|Realnetwork-Listen(Muzicall)|Shazam|SimfyAfrica|SoundExchange|Touchtunes|Traxsource|VEVO|XboxMusic	Yes	No
Apres-Ski Megaparty 2013	German	AA Apres-Ski!	Germany	Blue Door Records Christian Lösch		AA Apres-Ski!							2012-11-30	2012-11-30	No Pre-order			Mid/Front	Full Length	Blue Door Records Christian Lösch	Pop	Pop	2012 Blue Door Records Christian Lösch	4260149823823	4260149823823	1352145356591	1352145356591_00382		1352145356591_01_10.flac	1	10	Joana (Du geile Sau)	German	Apres-Ski Mix 2013	AA Apres-Ski!							Front	No	DEHT41202185	No	2012 Blue Door Records Christian Lösch	I have no master rights	Germany	Germany	Heider, Joachim	Hansa Musik Produktion GmbH																		c5ba558325a236727414e01c42d44fc5	25217587	No		Altacom|AmazonDOD|AudibleMagic|BeatportDigitalDownloadNetwork|Bleep|Boomkat|Dubstore|Flipagram|Gracenote|Grammofy|Hardwax|HDTracks|JunoRecords|NMusic|Phononet|Qanawat|Realnetwork-Listen(Muzicall)|Shazam|SimfyAfrica|SoundExchange|Touchtunes|Traxsource|VEVO|XboxMusic	Yes	No
