Release Name	Release Meta Language	Orchard Artist	Artist Country	Subaccount Name	Artist URL	Release Artist(s)-Primary Artist(s)	Release Artist(s)-Featuring(s)	Release Artist(s)-Remixer(s)	Release Artist(s)-Composer(s)	Release Artist(s)-Orchestra(s)	Release Artist(s)-Ensemble(s)	Release Artist(s)-Conductor(s)	Release Date	Sale Start Date	iTunes Pre-Order	iTunes Pre-Order Date	Preorder Preview	Album Pricing	Format: Full Length / EP / Single	Imprint	Genre	Sub-genre	[C] Information	Digital UPC	Manufacturer's UPC	Folder Name / Project Code	Product Code	Release Version	File Name	Volume	Track No.	Track Name	Track Audio Language	Version	Track Artist	Track Artist(s) - Featuring(s)	Track Artist(s) - Remixer(s)	Track Artist(s) - Composer(s)	Track Artist(s) - Orchestra(s)	Track Artist(s) - Ensemble(s)	Track Artist(s) - Conductor(s)	Track Pricing	Explicit (No/Yes/Clean)	ISRC	3rd Party Publisher? (Yes/No)	[P] Information	Ownership For This Sound Recording	Country of Recording	Nationality of Original Copyright Owner	Songwriter(s)	Publisher(s)	Performer 1 Type	Performer 1 Legal Name	Performer 1 Main Role	Performer 2 Type	Performer 2 Legal Name	Performer 2 Main Role	Performer 3 Type	Performer 3 Legal Name	Performer 3 Main Role	Performer 4 Type	Performer 4 Legal Name	Performer 4 Main Role	Performer 5 Type	Performer 5 Legal Name	Performer 5 Main Role	Only Include/Only Exclude?	Territories (ISO Codes)	md5 Checksum	Filesize	Is Mastered for iTunes?	Mastering Studio Email-Address	Excluded DMS	Streaming allowed	Bundle Only
Kinder Karneval	German	Kinderkarneval	Germany	Blue Door Records Christian Lösch		Kinderkarneval							2011-01-28	2011-01-28	No Pre-order			Mid/Front	Full Length	Blue Door Records Christian Lösch	Christian	Other	2011 Blue Door Records	4260149821454	4260149821454	1295383331317	1295383331317_00145		1295383331317_01_10.flac	1	10	Der Ententanz	German		Kinderkarneval							Front	No	DEHT41100925	No	2011 Blue Door Records	I have no master rights	Germany	Germany	THOMAS, WERNER	EUROVOX-MUSIC																		2962d4001d25e46f89482bd7585d6e1e	18825012	No		Altacom|AmazonDOD|AudibleMagic|BeatportDigitalDownloadNetwork|Bleep|Boomkat|Deezer|Dubstore|Flipagram|Gracenote|Grammofy|Hardwax|HDTracks|iMusica|JunoRecords|NMusic|Phononet|Qanawat|Qobuz|Realnetwork-Listen(Muzicall)|Shazam|SimfyAfrica|SoundExchange|Touchtunes|Traxsource|VEVO|XboxMusic	Yes	No
Kinder Karneval	German	Kinderkarneval	Germany	Blue Door Records Christian Lösch		Kinderkarneval							2011-01-28	2011-01-28	No Pre-order			Mid/Front	Full Length	Blue Door Records Christian Lösch	Christian	Other	2011 Blue Door Records	4260149821454	4260149821454	1295383331317	1295383331317_00145		1295383331317_01_11.flac	1	11	Heidi	German	Opossum Karneval Mix	Kinderkarneval							Front	No	DEHT41100926	No	2011 Blue Door Records	I have no master rights	Germany	Germany	BRUHN, CHRISTIAN	FKM-JUNIOR EDITION																		6c9a45b33f5ca747bb14508166665edf	22654731	No		Altacom|AmazonDOD|AudibleMagic|BeatportDigitalDownloadNetwork|Bleep|Boomkat|Deezer|Dubstore|Flipagram|Gracenote|Grammofy|Hardwax|HDTracks|iMusica|JunoRecords|NMusic|Phononet|Qanawat|Qobuz|Realnetwork-Listen(Muzicall)|Shazam|SimfyAfrica|SoundExchange|Touchtunes|Traxsource|VEVO|XboxMusic	Yes	No
Kinder Karneval	German	Kinderkarneval	Germany	Blue Door Records Christian Lösch		Kinderkarneval							2011-01-28	2011-01-28	No Pre-order			Mid/Front	Full Length	Blue Door Records Christian Lösch	Christian	Other	2011 Blue Door Records	4260149821454	4260149821454	1295383331317	1295383331317_00145		1295383331317_01_12.flac	1	12	Meine Oma fährt im Hühnerstall Motorrad	German		Kinderkarneval							Front	No	DEHT41100927	No	2011 Blue Door Records	I have no master rights	Germany	Germany	TRAD.	Blue Door Musikverlag																		13cf3a7ae8b9a69288d364038269359f	25467282	No		Altacom|AmazonDOD|AudibleMagic|BeatportDigitalDownloadNetwork|Bleep|Boomkat|Deezer|Dubstore|Flipagram|Gracenote|Grammofy|Hardwax|HDTracks|iMusica|JunoRecords|NMusic|Phononet|Qanawat|Qobuz|Realnetwork-Listen(Muzicall)|Shazam|SimfyAfrica|SoundExchange|Touchtunes|Traxsource|VEVO|XboxMusic	Yes	No
Kinder Karneval	German	Kinderkarneval	Germany	Blue Door Records Christian Lösch		Kinderkarneval							2011-01-28	2011-01-28	No Pre-order			Mid/Front	Full Length	Blue Door Records Christian Lösch	Christian	Other	2011 Blue Door Records	4260149821454	4260149821454	1295383331317	1295383331317_00145		1295383331317_01_13.flac	1	13	Das singende Känguruh	German		Kinderkarneval							Front	No	DEHT41100928	No	2011 Blue Door Records	I have no master rights	Germany	Germany	ROSIN, VOLKER																			0866035c5b5965836aeade7308af93d5	28119056	No		Altacom|AmazonDOD|AudibleMagic|BeatportDigitalDownloadNetwork|Bleep|Boomkat|Deezer|Dubstore|Flipagram|Gracenote|Grammofy|Hardwax|HDTracks|iMusica|JunoRecords|NMusic|Phononet|Qanawat|Qobuz|Realnetwork-Listen(Muzicall)|Shazam|SimfyAfrica|SoundExchange|Touchtunes|Traxsource|VEVO|XboxMusic	Yes	No
Kinder Karneval	German	Kinderkarneval	Germany	Blue Door Records Christian Lösch		Kinderkarneval							2011-01-28	2011-01-28	No Pre-order			Mid/Front	Full Length	Blue Door Records Christian Lösch	Christian	Other	2011 Blue Door Records	4260149821454	4260149821454	1295383331317	1295383331317_00145		1295383331317_01_14.flac	1	14	Heut fahrn wir übern See	German		Kinderkarneval							Front	No	DEHT41100929	No	2011 Blue Door Records	I have no master rights	Germany	Germany	TRAD.	Blue Door Musikverlag																		c0ea13a5b815eb4a501eadcedc7fb63b	26449110	No		Altacom|AmazonDOD|AudibleMagic|BeatportDigitalDownloadNetwork|Bleep|Boomkat|Deezer|Dubstore|Flipagram|Gracenote|Grammofy|Hardwax|HDTracks|iMusica|JunoRecords|NMusic|Phononet|Qanawat|Qobuz|Realnetwork-Listen(Muzicall)|Shazam|SimfyAfrica|SoundExchange|Touchtunes|Traxsource|VEVO|XboxMusic	Yes	No
Kinder Karneval	German	Kinderkarneval	Germany	Blue Door Records Christian Lösch		Kinderkarneval							2011-01-28	2011-01-28	No Pre-order			Mid/Front	Full Length	Blue Door Records Christian Lösch	Christian	Other	2011 Blue Door Records	4260149821454	4260149821454	1295383331317	1295383331317_00145		1295383331317_01_15.flac	1	15	Der Cowboy Jim aus Texas	German		Kinderkarneval							Front	No	DEHT41100930	No	2011 Blue Door Records	I have no master rights	Germany	Germany	VAHLE, FREDRIK	VERLAG PLAENE GMBH																		b2dee22937c926ea389c4adee1d6f27f	20111371	No		Altacom|AmazonDOD|AudibleMagic|BeatportDigitalDownloadNetwork|Bleep|Boomkat|Deezer|Dubstore|Flipagram|Gracenote|Grammofy|Hardwax|HDTracks|iMusica|JunoRecords|NMusic|Phononet|Qanawat|Qobuz|Realnetwork-Listen(Muzicall)|Shazam|SimfyAfrica|SoundExchange|Touchtunes|Traxsource|VEVO|XboxMusic	Yes	No
Kinder Karneval	German	Kinderkarneval	Germany	Blue Door Records Christian Lösch		Kinderkarneval							2011-01-28	2011-01-28	No Pre-order			Mid/Front	Full Length	Blue Door Records Christian Lösch	Christian	Other	2011 Blue Door Records	4260149821454	4260149821454	1295383331317	1295383331317_00145		1295383331317_01_16.flac	1	16	Tanz der Pinguine	German	Kinderkarneval Mix	Kinderkarneval							Front	No	DEHT41100931	No	2011 Blue Door Records	I have no master rights	Germany	Germany	DP	Diesterweg																		3ef9a5e37196bd81fba9ff51ea9c3855	25088249	No		Altacom|AmazonDOD|AudibleMagic|BeatportDigitalDownloadNetwork|Bleep|Boomkat|Deezer|Dubstore|Flipagram|Gracenote|Grammofy|Hardwax|HDTracks|iMusica|JunoRecords|NMusic|Phononet|Qanawat|Qobuz|Realnetwork-Listen(Muzicall)|Shazam|SimfyAfrica|SoundExchange|Touchtunes|Traxsource|VEVO|XboxMusic	Yes	No
Kinder Karneval	German	Kinderkarneval	Germany	Blue Door Records Christian Lösch		Kinderkarneval							2011-01-28	2011-01-28	No Pre-order			Mid/Front	Full Length	Blue Door Records Christian Lösch	Christian	Other	2011 Blue Door Records	4260149821454	4260149821454	1295383331317	1295383331317_00145		1295383331317_01_17.flac	1	17	Bi Ba Butzemann	German		Kinderkarneval							Front	No	DEHT41100932	No	2011 Blue Door Records	I have no master rights	Germany	Germany	DP	Blue Door Musikverlag																		3425eb62050943015a63e58a223b48e2	25225804	No		Altacom|AmazonDOD|AudibleMagic|BeatportDigitalDownloadNetwork|Bleep|Boomkat|Deezer|Dubstore|Flipagram|Gracenote|Grammofy|Hardwax|HDTracks|iMusica|JunoRecords|NMusic|Phononet|Qanawat|Qobuz|Realnetwork-Listen(Muzicall)|Shazam|SimfyAfrica|SoundExchange|Touchtunes|Traxsource|VEVO|XboxMusic	Yes	No
Kinder Karneval	German	Kinderkarneval	Germany	Blue Door Records Christian Lösch		Kinderkarneval							2011-01-28	2011-01-28	No Pre-order			Mid/Front	Full Length	Blue Door Records Christian Lösch	Christian	Other	2011 Blue Door Records	4260149821454	4260149821454	1295383331317	1295383331317_00145		1295383331317_01_18.flac	1	18	Hey Pipi Langstrumpf	German		Kinderkarneval							Front	No	DEHT41100933	No	2011 Blue Door Records	I have no master rights	Germany	Germany	ELFERS, KONRAD	FKM-JUNIOR EDITION																		dc36c24a6107bebd66e44d5ec6d877ca	32079505	No		Altacom|AmazonDOD|AudibleMagic|BeatportDigitalDownloadNetwork|Bleep|Boomkat|Deezer|Dubstore|Flipagram|Gracenote|Grammofy|Hardwax|HDTracks|iMusica|JunoRecords|NMusic|Phononet|Qanawat|Qobuz|Realnetwork-Listen(Muzicall)|Shazam|SimfyAfrica|SoundExchange|Touchtunes|Traxsource|VEVO|XboxMusic	Yes	No
Kinder Karneval	German	Kinderkarneval	Germany	Blue Door Records Christian Lösch		Kinderkarneval							2011-01-28	2011-01-28	No Pre-order			Mid/Front	Full Length	Blue Door Records Christian Lösch	Christian	Other	2011 Blue Door Records	4260149821454	4260149821454	1295383331317	1295383331317_00145		1295383331317_01_19.flac	1	19	Wer hat die Kokusnuss geklaut (Die Affen rasen durch den Wald)	German		Kinderkarneval							Front	No	DEHT41100934	No	2011 Blue Door Records	I have no master rights	Germany	Germany	TRAD.	Blue Door Musikverlag																		0f676c5a88a683740c09ae1e00929aa2	25019452	No		Altacom|AmazonDOD|AudibleMagic|BeatportDigitalDownloadNetwork|Bleep|Boomkat|Deezer|Dubstore|Flipagram|Gracenote|Grammofy|Hardwax|HDTracks|iMusica|JunoRecords|NMusic|Phononet|Qanawat|Qobuz|Realnetwork-Listen(Muzicall)|Shazam|SimfyAfrica|SoundExchange|Touchtunes|Traxsource|VEVO|XboxMusic	Yes	No
Kinder Karneval	German	Kinderkarneval	Germany	Blue Door Records Christian Lösch		Kinderkarneval							2011-01-28	2011-01-28	No Pre-order			Mid/Front	Full Length	Blue Door Records Christian Lösch	Christian	Other	2011 Blue Door Records	4260149821454	4260149821454	1295383331317	1295383331317_00145		1295383331317_01_20.flac	1	20	Das Lied über mich	German		Kinderkarneval							Front	No	DEHT41100935	No	2011 Blue Door Records	I have no master rights	Germany	Germany	ROSIN, VOLKER																			c9ac4f6fa0e2f43670c4a4c9db5b8c9b	23546462	No		Altacom|AmazonDOD|AudibleMagic|BeatportDigitalDownloadNetwork|Bleep|Boomkat|Deezer|Dubstore|Flipagram|Gracenote|Grammofy|Hardwax|HDTracks|iMusica|JunoRecords|NMusic|Phononet|Qanawat|Qobuz|Realnetwork-Listen(Muzicall)|Shazam|SimfyAfrica|SoundExchange|Touchtunes|Traxsource|VEVO|XboxMusic	Yes	No
HIGHER	English	Higher	Germany	Blue Door Records Christian Lösch		Higher							2011-01-21	2011-01-21	No Pre-order			Mid/Front	Full Length	Blue Door Records Christian Lösch	Electronic	Electronic	2011 Blue Door Records	4260149821430	4260149821430	1294687368500	1294687368500_00143		1294687368500_01_01.flac	1	1	Higher	English		Higher							Front	No	DEHT41199893	No	2011 Blue Door Records	I have no master rights	Germany	Germany	CRUZ, TAIO; WILHELM, SANDY JULIEN	EMI MUSIC PUBLISHING LTD																		4bedc0cfd208e38e62594e3297539a9c	26101435	No		Altacom|AmazonDOD|AudibleMagic|AWA|BeatportDigitalDownloadNetwork|Bleep|Boomkat|Dixero|Dubstore|Flipagram|Gracenote|Grammofy|Hardwax|HDTracks|JunoRecords|NMusic|Phononet|Qanawat|Realnetwork-Listen(Muzicall)|Shazam|SimfyAfrica|SoundExchange|Touchtunes|Traxsource|VEVO|XboxMusic	Yes	No
HIGHER	English	Higher	Germany	Blue Door Records Christian Lösch		Higher							2011-01-21	2011-01-21	No Pre-order			Mid/Front	Full Length	Blue Door Records Christian Lösch	Electronic	Electronic	2011 Blue Door Records	4260149821430	4260149821430	1294687368500	1294687368500_00143		1294687368500_01_02.flac	1	2	Higher (Karaoke)	English		Higher							Front	No	DEHT41199894	No	2011 Blue Door Records	I have no master rights	Germany	Germany	CRUZ, TAIO; WILHELM, SANDY JULIEN	EMI MUSIC PUBLISHING LTD																		887e744674206305beb3adfd2ae3d402	25031391	No		Altacom|AmazonDOD|AudibleMagic|AWA|BeatportDigitalDownloadNetwork|Bleep|Boomkat|Dixero|Dubstore|Flipagram|Gracenote|Grammofy|Hardwax|HDTracks|JunoRecords|NMusic|Phononet|Qanawat|Realnetwork-Listen(Muzicall)|Shazam|SimfyAfrica|SoundExchange|Touchtunes|Traxsource|VEVO|XboxMusic	Yes	No
I need a Dollar	English	DOLLAR DOLLAR	Germany	Blue Door Records Christian Lösch		DOLLAR DOLLAR							2011-01-14	2011-01-14	No Pre-order			Mid/Front	Full Length	Blue Door Records Christian Lösch	Pop	Pop	2011 Blue Door Records	4260149821423	4260149821423	1294662087858	1294662087858_00142		1294662087858_01_01.flac	1	1	I need a Dollar	English		DOLLAR DOLLAR							Front	No	DEHT41100891	No	2011 Blue Door Records	I have no master rights	Germany	Germany	DAWKINS, EGBERT NATHANIEL III; MICHELS, LEON MARCUS; MOVSHON, NICHOLAS ANTHONY; SILVERMAN, JEFFREY SCOTT	KOBALT MUSIC SERVICES AMERICA INC																		cbb44547805cd8ee58fcd4a58d0c95da	30711804	No		Altacom|AmazonDOD|AudibleMagic|AWA|BeatportDigitalDownloadNetwork|Bleep|Boomkat|Deezer|Dixero|Dubstore|Flipagram|Gracenote|Grammofy|Hardwax|HDTracks|iMusica|JunoRecords|NMusic|Phononet|Qanawat|Qobuz|Realnetwork-Listen(Muzicall)|Shazam|SimfyAfrica|SoundExchange|Spotify|Touchtunes|Traxsource|VEVO|XboxMusic	Yes	No
I need a Dollar	English	DOLLAR DOLLAR	Germany	Blue Door Records Christian Lösch		DOLLAR DOLLAR							2011-01-14	2011-01-14	No Pre-order			Mid/Front	Full Length	Blue Door Records Christian Lösch	Pop	Pop	2011 Blue Door Records	4260149821423	4260149821423	1294662087858	1294662087858_00142		1294662087858_01_02.flac	1	2	I need a Dollar (Karaoke)	English		DOLLAR DOLLAR							Front	No	DEHT41100892	No	2011 Blue Door Records	I have no master rights	Germany	Germany	DAWKINS, EGBERT NATHANIEL III; MICHELS, LEON MARCUS; MOVSHON, NICHOLAS ANTHONY; SILVERMAN, JEFFREY SCOTT	KOBALT MUSIC SERVICES AMERICA INC																		3db4d065c5f40202f9d732e1d7ec05f0	28168157	No		Altacom|AmazonDOD|AudibleMagic|AWA|BeatportDigitalDownloadNetwork|Bleep|Boomkat|Deezer|Dixero|Dubstore|Flipagram|Gracenote|Grammofy|Hardwax|HDTracks|iMusica|JunoRecords|NMusic|Phononet|Qanawat|Qobuz|Realnetwork-Listen(Muzicall)|Shazam|SimfyAfrica|SoundExchange|Spotify|Touchtunes|Traxsource|VEVO|XboxMusic	Yes	No
YOUR SONG	English	Your Song	Germany	Blue Door Records Christian Lösch		Your Song							2011-01-14	2011-01-14	No Pre-order			Mid/Front	Full Length	Blue Door Records Christian Lösch	Pop	Pop	2011 Blue Door Records	4260149821416	4260149821416	1294434171342	1294434171342_00141		1294434171342_01_01.flac	1	1	Your Song	English		Your Song							Front	No	DEHT41100889	No	2011 Blue Door Records	I have no master rights	Germany	Germany	JOHN, ELTON; TAUPIN, BERNIE	UNIVERSAL MUSIC PUBLISHING GMBH																		6ae9178cb0270b329a8f96fd5cd2d67f	19007155	No		Altacom|AmazonDOD|AudibleMagic|AWA|BeatportDigitalDownloadNetwork|Bleep|Boomkat|Deezer|Dixero|Dubstore|Flipagram|Gracenote|Grammofy|Hardwax|HDTracks|iMusica|JunoRecords|NMusic|Phononet|Qanawat|Qobuz|Realnetwork-Listen(Muzicall)|Shazam|SimfyAfrica|SoundExchange|Spotify|Touchtunes|Traxsource|VEVO|XboxMusic	Yes	No
YOUR SONG	English	Your Song	Germany	Blue Door Records Christian Lösch		Your Song							2011-01-14	2011-01-14	No Pre-order			Mid/Front	Full Length	Blue Door Records Christian Lösch	Pop	Pop	2011 Blue Door Records	4260149821416	4260149821416	1294434171342	1294434171342_00141		1294434171342_01_02.flac	1	2	Your Song (Female-Karaoke-Mix)	English		Your Song							Front	No	DEHT41100890	No	2011 Blue Door Records	I have no master rights	Germany	Germany	JOHN, ELTON; TAUPIN, BERNIE	UNIVERSAL MUSIC PUBLISHING GMBH																		8d7611c061be54561d81690ff6917f21	14085696	No		Altacom|AmazonDOD|AudibleMagic|AWA|BeatportDigitalDownloadNetwork|Bleep|Boomkat|Deezer|Dixero|Dubstore|Flipagram|Gracenote|Grammofy|Hardwax|HDTracks|iMusica|JunoRecords|NMusic|Phononet|Qanawat|Qobuz|Realnetwork-Listen(Muzicall)|Shazam|SimfyAfrica|SoundExchange|Spotify|Touchtunes|Traxsource|VEVO|XboxMusic	Yes	No
Heidi - Der Song	English	Heidi, das schielende Opossum	Germany	Blue Door Records Christian Lösch		Heidi, das schielende Opossum							2011-01-14	2011-01-14	No Pre-order			Mid/Front	Full Length	Blue Door Records Christian Lösch	Children's	Children's	2011 Blue Door Records	4260149821409	4260149821409	1294172563121	1294172563121_00140		1294172563121_01_01.flac	1	1	Heidi (Opossum-Original-Mix)	English		Heidi, das schielende Opossum							Front	No	DEHT41000884	No	2011 Blue Door Records	I have no master rights	Germany	Germany	BRUHN, CHRISTIAN	FKM-JUNIOR EDITION																		523072af14cb832696e5b96460e9e11d	22130231	No		Altacom|AmazonDOD|AudibleMagic|AWA|BeatportDigitalDownloadNetwork|Bleep|Boomkat|Dixero|Dubstore|Flipagram|Gracenote|Grammofy|Hardwax|HDTracks|iMusica|JunoRecords|NMusic|Phononet|Qanawat|Realnetwork-Listen(Muzicall)|Shazam|SimfyAfrica|SoundExchange|Touchtunes|Traxsource|VEVO|XboxMusic	Yes	No
Heidi - Der Song	English	Heidi, das schielende Opossum	Germany	Blue Door Records Christian Lösch		Heidi, das schielende Opossum							2011-01-14	2011-01-14	No Pre-order			Mid/Front	Full Length	Blue Door Records Christian Lösch	Children's	Children's	2011 Blue Door Records	4260149821409	4260149821409	1294172563121	1294172563121_00140		1294172563121_01_02.flac	1	2	Heidi (Opossum-Apres-Ski-Mix)	English		Heidi, das schielende Opossum							Front	No	DEHT41000885	No	2011 Blue Door Records	I have no master rights	Germany	Germany	BRUHN, CHRISTIAN	FKM-JUNIOR EDITION																		4fa13f8d7f5f101dbbc98feff40f9991	22557565	No		Altacom|AmazonDOD|AudibleMagic|AWA|BeatportDigitalDownloadNetwork|Bleep|Boomkat|Dixero|Dubstore|Flipagram|Gracenote|Grammofy|Hardwax|HDTracks|iMusica|JunoRecords|NMusic|Phononet|Qanawat|Realnetwork-Listen(Muzicall)|Shazam|SimfyAfrica|SoundExchange|Touchtunes|Traxsource|VEVO|XboxMusic	Yes	No
Heidi - Der Song	English	Heidi, das schielende Opossum	Germany	Blue Door Records Christian Lösch		Heidi, das schielende Opossum							2011-01-14	2011-01-14	No Pre-order			Mid/Front	Full Length	Blue Door Records Christian Lösch	Children's	Children's	2011 Blue Door Records	4260149821409	4260149821409	1294172563121	1294172563121_00140		1294172563121_01_03.flac	1	3	Heidi (Opossum-Karneval-Mix)	English		Heidi, das schielende Opossum							Front	No	DEHT41000886	No	2011 Blue Door Records	I have no master rights	Germany	Germany	BRUHN, CHRISTIAN	FKM-JUNIOR EDITION																		6c9a45b33f5ca747bb14508166665edf	22654731	No		Altacom|AmazonDOD|AudibleMagic|AWA|BeatportDigitalDownloadNetwork|Bleep|Boomkat|Dixero|Dubstore|Flipagram|Gracenote|Grammofy|Hardwax|HDTracks|iMusica|JunoRecords|NMusic|Phononet|Qanawat|Realnetwork-Listen(Muzicall)|Shazam|SimfyAfrica|SoundExchange|Touchtunes|Traxsource|VEVO|XboxMusic	Yes	No
Heidi - Der Song	English	Heidi, das schielende Opossum	Germany	Blue Door Records Christian Lösch		Heidi, das schielende Opossum							2011-01-14	2011-01-14	No Pre-order			Mid/Front	Full Length	Blue Door Records Christian Lösch	Children's	Children's	2011 Blue Door Records	4260149821409	4260149821409	1294172563121	1294172563121_00140		1294172563121_01_04.flac	1	4	Heidi (Opossum-Karaoke-Mix)	English		Heidi, das schielende Opossum							Front	No	DEHT41000887	No	2011 Blue Door Records	I have no master rights	Germany	Germany	BRUHN, CHRISTIAN	FKM-JUNIOR EDITION																		21799a8af29548bd70d9defda0010f7f	21517845	No		Altacom|AmazonDOD|AudibleMagic|AWA|BeatportDigitalDownloadNetwork|Bleep|Boomkat|Dixero|Dubstore|Flipagram|Gracenote|Grammofy|Hardwax|HDTracks|iMusica|JunoRecords|NMusic|Phononet|Qanawat|Realnetwork-Listen(Muzicall)|Shazam|SimfyAfrica|SoundExchange|Touchtunes|Traxsource|VEVO|XboxMusic	Yes	No
Heidi - Der Song	English	Heidi, das schielende Opossum	Germany	Blue Door Records Christian Lösch		Heidi, das schielende Opossum							2011-01-14	2011-01-14	No Pre-order			Mid/Front	Full Length	Blue Door Records Christian Lösch	Children's	Children's	2011 Blue Door Records	4260149821409	4260149821409	1294172563121	1294172563121_00140		1294172563121_01_05.flac	1	5	Heidi (Opossum-Karneval-Karaoke-Mix)	English		Heidi, das schielende Opossum							Front	No	DEHT41000888	No	2011 Blue Door Records	I have no master rights	Germany	Germany	BRUHN, CHRISTIAN	FKM-JUNIOR EDITION																		3eeb123d2182b271004d711e55280977	22290646	No		Altacom|AmazonDOD|AudibleMagic|AWA|BeatportDigitalDownloadNetwork|Bleep|Boomkat|Dixero|Dubstore|Flipagram|Gracenote|Grammofy|Hardwax|HDTracks|iMusica|JunoRecords|NMusic|Phononet|Qanawat|Realnetwork-Listen(Muzicall)|Shazam|SimfyAfrica|SoundExchange|Touchtunes|Traxsource|VEVO|XboxMusic	Yes	No
Hallelujah	English	Halleluja	Germany	Blue Door Records Christian Lösch		Halleluja							2011-01-14	2011-01-14	No Pre-order			Mid/Front	Full Length	Blue Door Records Christian Lösch	Rock	Rock	2011 Blue Door Records	4260149821393	4260149821393	1292400755686	1292400755686_00139		1292400755686_01_01.flac	1	1	Hallelujah	English		Halleluja							Front	No	DEHT41000883	No	2011 Blue Door Records	I have no master rights	Germany	Germany	Cohen, Leonard	Sony ATV																		7a00881a6644cb4e0dc874ac1adaf702	26763183	No		Altacom|AmazonDOD|AudibleMagic|AWA|BeatportDigitalDownloadNetwork|Bleep|Boomkat|Dixero|Dubstore|Flipagram|Gracenote|Grammofy|Hardwax|HDTracks|iMusica|JunoRecords|NMusic|Phononet|Qanawat|Realnetwork-Listen(Muzicall)|Shazam|SimfyAfrica|SoundExchange|Touchtunes|Traxsource|VEVO|XboxMusic	Yes	No
Barbra Streisand	English	B.A.R.B.R.A.	Germany	Blue Door Records Christian Lösch		B.A.R.B.R.A.							2011-01-14	2011-01-14	No Pre-order			Mid/Front	Full Length	Blue Door Records Christian Lösch	Electronic	Electronic	2011 Blue Door Records	4260149821386	4260149821386	1292276575070	1292276575070_00138		1292276575070_01_01.flac	1	1	Barbra Streisand	English		B.A.R.B.R.A.							Front	No	DEHT41000882	No	2011 Blue Door Records	I have no master rights	Germany	Germany	HOLM, MICHAEL; HUTH, HEINZ; HUTH, JUERGEN	AUTOBAHN MUSIK GMBH																		4146db2c63cb3e134167df7d57d74aad	41012330	No		Altacom|AmazonDOD|AudibleMagic|AWA|BeatportDigitalDownloadNetwork|Bleep|Boomkat|Dixero|Dubstore|Flipagram|Gracenote|Grammofy|Hardwax|HDTracks|iMusica|iTunes/Apple|JunoRecords|NMusic|Phononet|Qanawat|Realnetwork-Listen(Muzicall)|Shazam|SimfyAfrica|SoundExchange|Touchtunes|Traxsource|VEVO|XboxMusic	Yes	No
Das alte Försterhaus 2011	English	Lichtensteiner	Germany	Blue Door Records Christian Lösch		Lichtensteiner							2010-12-17	2010-12-17	No Pre-order			Mid/Front	Full Length	Blue Door Records Christian Lösch	Pop	Pop	2011 Blue Door Records	4260149821348	4260149821348	1291729324874	1291729324874_00134		1291729324874_01_01.flac	1	1	Das alte Försterhaus 2011	English		Lichtensteiner							Front	No	DEHT41000879	No	2011 Blue Door Records	I have no master rights	Germany	Germany	STEMMLER, RUDI	SEITH AUGUST E. K.																		f0edcdf990f12b37f2477420c1bd7fd1	28739077	No		Altacom|AmazonDOD|AudibleMagic|AWA|BeatportDigitalDownloadNetwork|Bleep|Boomkat|Dixero|Dubstore|Flipagram|Gracenote|Grammofy|Hardwax|HDTracks|iMusica|JunoRecords|NMusic|Phononet|Qanawat|Realnetwork-Listen(Muzicall)|Saavn|Shazam|SimfyAfrica|SoundExchange|Touchtunes|Traxsource|VEVO|XboxMusic	Yes	No
Comptine d'un autre été – L'après-midi	English	AMELIE	Germany	Blue Door Records Christian Lösch		AMELIE							2010-12-03	2010-12-03	No Pre-order			Mid/Front	Full Length	Blue Door Records Christian Lösch	New Age	World	2011 Blue Door Records	4260149821331	4260149821331	1291307345229	1291307345229_00133		1291307345229_01_01.flac	1	1	Comptine d'un autre été – L'après-midi	English		AMELIE							Front	No	DEHT41000878	No	2011 Blue Door Records	I have no master rights	Germany	Germany	TIERSEN, YANN PIERRE	UNIVERSAL MUSIC PUBLISHING MGB FRANCE																		88ceced30657c79fbb806fff9ae2b2dd	10249092	No		Altacom|AmazonDOD|AudibleMagic|AWA|BeatportDigitalDownloadNetwork|Bleep|Boomkat|Dixero|Dubstore|Flipagram|Gracenote|Grammofy|Hardwax|HDTracks|iMusica|JunoRecords|NMusic|Phononet|Qanawat|Realnetwork-Listen(Muzicall)|Saavn|Shazam|SimfyAfrica|SoundExchange|Touchtunes|Traxsource|VEVO|XboxMusic	Yes	No
WE R WHO WE R	English	WE R WHO WE R	Germany	Blue Door Records Christian Lösch		WE R WHO WE R							2010-12-10	2010-12-10	No Pre-order			Mid/Front	Full Length	Blue Door Records Christian Lösch	Electronic	Electronic	2011 Blue Door Records	4260149821324	4260149821324	1291219297728	1291219297728_00132		1291219297728_01_01.flac	1	1	WE R WHO WE R	English		WE R WHO WE R							Front	No	DEHT41000876	No	2011 Blue Door Records	I have no master rights	Germany	Germany	COLEMAN,JOSHUA; GOTTWALD,LUKASZ; HINDLIN,JACOB; KASHER, Levin	J KASHER PUBLISHING; SONY/ATV																		d1d6bcaab39beea0fa1592275ae39ced	27334761	No		Altacom|AmazonDOD|AudibleMagic|AWA|BeatportDigitalDownloadNetwork|Bleep|Boomkat|Dixero|Dubstore|Flipagram|Gracenote|Grammofy|Hardwax|HDTracks|iMusica|JunoRecords|NMusic|Phononet|Qanawat|Realnetwork-Listen(Muzicall)|Saavn|Shazam|SimfyAfrica|SoundExchange|Touchtunes|Traxsource|VEVO|XboxMusic	Yes	No
